#Letra	 F abs	 F rel
a	99087	0.143667
b	13067	0.0189459
c	38437	0.0557301
d	26336	0.0381848
e	67400	0.0977238
f	7487	0.0108555
g	12042	0.0174598
h	7118	0.0103204
i	58643	0.0850269
j	4415	0.00640134
k	134	0.000194288
l	33779	0.0489764
m	22196	0.0321822
n	44770	0.0649124
o	68388	0.0991563
p	16548	0.0239931
q	2795	0.00405249
r	64442	0.093435
s	28966	0.041998
t	37278	0.0540497
u	22028	0.0319386
v	6432	0.00932581
w	36	5.21967e-05
x	1172	0.00169929
y	1141	0.00165434
z	5562	0.00806439
